File type	# files		# fragments
123		2		436
bin		1		8
bmp		72		62716
chp		2		75
csv		18360		6851095
data		3		1736
dbase3		2601		41105
doc		76616		60692770
docx		163		66037
dwf		299		85914
eps		5191		5763380
exported		3		324
f		602		94770
fits		182		680331
fm		25		6696
g3		2		500
gif		36302		5983541
gls		60		572
gz		13725		17766643
hlp		659		9301
html		214568		25839084
icns		1		1
ileaf		4		1657
java		292		14721
jpg		109233		73326493
js		2		37
kml		993		310331
kmz		943		549513
lnk		2		4
log		9976		8471137
mac		2		2
odp		2		2342
pdf		231232		268199787
png		4125		2211963
pps		1619		7433640
ppt		49702		251176072
pptx		215		1151787
ps		22015		56580524
pst		1		20
pub		55		1472
py		1		480
rtf		1125		957696
sgml		62		44247
sql		462		243422
squeak		1		24576
swf		3476		3800001
sys		7		22
tex		163		10638
text		839		1526548
tmp		180		28561
troff		110		8118
ttf		10		1545
txt		78285		99266791
unk		5186		2984449
vrml		1		660
wk1		7		6498
wk3		1		230
wp		364		87921
xbm		8		584
xls		62635		58754238
xlsx		37		13006
xml		33458		16982435
zip		10		31248
